FIPS,Geographic Identifier,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,State (FIPS),Total Population:,Total Population: Under 5 Years,Total Population: 5 to 9 Years,Total Population: 10 to 14 Years,Total Population: 15 to 17 Years,Total Population: 18 to 24 Years,Total Population: 25 to 34 Years,Total Population: 35 to 44 Years,Total Population: 45 to 54 Years,Total Population: 55 to 64 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,Median Age:,Median Age: Male Population,Median Age: Female Population
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T007_012,SE_T007_013,SE_T012_001,SE_T012_002,SE_T012_003
1,04000US01,Alabama,Alabama,al,40,0,ACSSF,1,1,4841164,292771,305707,313980,192731,474567,626564,606216,656639,629595,434510,225663,82221,38.6,37.1,40
2,04000US02,Alaska,Alaska,ak,40,0,ACSSF,1,2,736855,54432,52309,50793,30082,78540,115775,92056,99414,94149,46577,16759,5969,33.6,33.3,34
4,04000US04,Arizona,Arizona,az,40,0,ACSSF,1,4,6728577,434939,457144,454665,272870,668324,899711,835719,840159,794895,620856,326244,123051,37.1,35.8,38.4
5,04000US05,Arkansas,Arkansas,ar,40,0,ACSSF,1,5,2968472,190884,201293,195820,119237,287647,385316,367023,385891,370374,269411,140847,54729,37.7,36.4,39.2
6,04000US06,California,California,ca,40,0,ACSSF,1,6,38654206,2499561,2538872,2536895,1564955,3959511,5701167,5159031,5215194,4502038,2822406,1475866,678710,36,34.9,37.1
8,04000US08,Colorado,Colorado,co,40,0,ACSSF,1,8,5359295,335492,355338,351831,203520,522764,798010,724366,718538,671396,409242,190638,78160,36.4,35.5,37.4
9,04000US09,Connecticut,Connecticut,ct,40,0,ACSSF,1,9,3588570,188812,210557,228543,145740,348789,438471,439606,545977,487052,303959,163137,87927,40.6,38.8,42.1
10,04000US10,Delaware,Delaware,de,40,0,ACSSF,1,10,934695,55611,56566,57408,34607,89588,122685,110467,129801,124129,90854,44977,18002,39.6,38,41.1
11,04000US11,District of Columbia,District of Columbia,dc,40,0,ACSSF,1,11,659009,41955,32422,24759,15549,81327,149223,92780,76859,68969,42680,21896,10590,33.8,33.6,34
12,04000US12,Florida,Florida,fl,40,0,ACSSF,1,12,19934451,1094213,1116799,1145558,709706,1774488,2532527,2434272,2744569,2584694,2084139,1198775,514711,41.6,40.1,43.1
13,04000US13,Georgia,Georgia,ga,40,0,ACSSF,1,13,10099320,660941,702690,711030,420514,1014683,1378980,1375596,1403866,1184725,765556,354591,126148,36.2,34.9,37.4
15,04000US15,Hawaii,Hawaii,hi,40,0,ACSSF,1,15,1413673,91645,84839,83667,48065,132512,203249,176240,182450,183392,126472,63545,37597,38.5,36.9,40.1
