FIPS,Geographic Identifier,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,State (FIPS),Households:,"Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More",Median Household Income (In 2016 Inflation Adjusted Dollars)
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,SE_T056_001,SE_T056_002,SE_T056_003,SE_T056_004,SE_T056_005,SE_T056_006,SE_T056_007,SE_T056_008,SE_T056_009,SE_T056_010,SE_T056_011,SE_T056_012,SE_T056_013,SE_T056_014,SE_T056_015,SE_T056_016,SE_T056_017,SE_T057_001
1,04000US01,Alabama,Alabama,al,40,0,ACSSF,1,1,1851061,179345,126347,118846,114040,105954,101692,93118,90043,75980,148141,174333,204249,127870,70558,66462,54083,44758
2,04000US02,Alaska,Alaska,ak,40,0,ACSSF,1,2,250235,9216,8418,8345,9349,8311,9295,9504,10355,8585,17878,26891,36934,28526,19613,22037,16978,74444
4,04000US04,Arizona,Arizona,az,40,0,ACSSF,1,4,2448919,183573,125264,127003,135185,133260,130764,122877,125810,107768,206026,247629,294491,189025,110715,107864,101665,51340
5,04000US05,Arkansas,Arkansas,ar,40,0,ACSSF,1,5,1141480,101637,82519,76391,77626,69990,69515,61745,59774,52081,95250,109400,115768,70708,37074,31835,30167,42336
6,04000US06,California,California,ca,40,0,ACSSF,1,6,12807387,728895,629347,570021,595028,549453,562391,516373,520991,470573,912385,1203377,1552490,1171087,779571,935208,1110197,63783
8,04000US08,Colorado,Colorado,co,40,0,ACSSF,1,8,2051616,114990,80302,82773,93281,90734,94758,89353,92951,82952,162904,211250,276255,194355,122056,133864,128838,62520
9,04000US09,Connecticut,Connecticut,ct,40,0,ACSSF,1,9,1354713,75787,50565,54190,55194,50989,51415,50649,50106,46192,91810,126135,172153,134162,95329,111209,138828,71755
10,04000US10,Delaware,Delaware,de,40,0,ACSSF,1,10,348051,20271,12613,14548,16118,15936,17062,16024,15665,14757,28118,37108,47615,32000,20337,21249,18630,61017
11,04000US11,District of Columbia,District of Columbia,dc,40,0,ACSSF,1,11,276546,28179,12205,10112,9641,9405,9225,7951,9150,7955,15815,21155,29158,25245,17922,24110,39318,72935
12,04000US12,Florida,Florida,fl,40,0,ACSSF,1,12,7393262,556637,398394,423592,445928,421568,416468,391972,379530,331287,612464,738333,832126,527915,297921,297029,322098,48900
13,04000US13,Georgia,Georgia,ga,40,0,ACSSF,1,13,3611706,298701,198287,192794,201968,186210,188941,176062,174362,152256,290377,359941,420635,275919,160150,167373,167730,51037
15,04000US15,Hawaii,Hawaii,hi,40,0,ACSSF,1,15,452030,25329,15336,15296,16495,15428,16494,16240,17189,15976,32874,48316,64035,50789,33173,35851,33209,71977
16,04000US16,Idaho,Idaho,id,40,0,ACSSF,1,16,596107,41835,31467,32300,34792,33414,36311,32118,31306,29108,52829,66619,71986,42322,22849,19555,17296,49174
17,04000US17,Illinois,Illinois,il,40,0,ACSSF,1,17,4802124,341280,212171,229808,233284,215853,223873,209353,211444,184289,363985,478067,612265,431201,267312,289346,298593,59196
18,04000US18,Indiana,Indiana,in,40,0,ACSSF,1,18,2513828,176307,128274,139989,140848,139568,140514,132028,132464,115760,215737,272071,316401,193460,104035,89979,76393,50433
19,04000US19,Iowa,Iowa,ia,40,0,ACSSF,1,19,1242641,75624,60809,61346,65013,64268,65171,58969,63300,53584,107725,138837,172210,104883,57858,49988,43056,54570
20,04000US20,Kansas,Kansas,ks,40,0,ACSSF,1,20,1115858,70550,54383,54565,59678,59070,59827,56512,55887,49228,95472,120467,141242,93675,52872,47916,44514,53571
21,04000US21,Kentucky,Kentucky,ky,40,0,ACSSF,1,21,1718217,166777,114927,109055,103977,97375,95769,87724,86355,73833,137027,169183,190731,118183,64316,53630,49355,44811
22,04000US22,Louisiana,Louisiana,la,40,0,ACSSF,1,22,1731398,175389,116057,112979,104920,94157,91013,81081,80312,69560,125452,156880,187431,127013,74489,71073,63592,45652
23,04000US23,Maine,Maine,me,40,0,ACSSF,1,23,551109,37232,32820,32065,30013,30269,31392,26836,26035,24399,46296,59455,70080,43209,22830,19981,18197,50826
24,04000US24,Maryland,Maryland,md,40,0,ACSSF,1,24,2177492,110563,69385,69563,74485,75783,79093,73710,79977,74631,154873,213460,288676,233501,167567,200287,211938,76067
25,04000US25,Massachusetts,Massachusetts,ma,40,0,ACSSF,1,25,2558889,153029,126832,107494,103045,91543,98585,89942,89629,81469,167450,229018,318777,256264,182821,216817,246174,70954
26,04000US26,Michigan,Michigan,mi,40,0,ACSSF,1,26,3860394,299722,204099,214199,214535,202578,212026,191991,191636,168823,316135,398018,463821,299007,172258,164910,146636,50803
27,04000US27,Minnesota,Minnesota,mn,40,0,ACSSF,1,27,2135310,108626,89868,90360,96122,91027,94595,93740,93297,85671,169427,229691,300116,209410,129985,130602,122773,63217
28,04000US28,Mississippi,Mississippi,ms,40,0,ACSSF,1,28,1098803,122106,84096,80213,70762,65980,63680,55943,55784,44924,86008,100164,113364,66304,34344,29934,25197,40528
29,04000US29,Missouri,Missouri,mo,40,0,ACSSF,1,29,2372362,178563,133190,131639,136303,130940,134732,122925,121309,104434,199678,245202,283744,176070,97921,92577,83135,49593
30,04000US30,Montana,Montana,mt,40,0,ACSSF,1,30,412653,29264,24715,23561,25356,23023,24488,22762,20705,17852,34178,44026,48622,30699,16258,13603,13541,48380
31,04000US31,Nebraska,Nebraska,ne,40,0,ACSSF,1,31,741581,43275,36213,35588,40147,38140,39512,36960,36334,33429,63877,82811,96780,65314,34609,31282,27310,54384
32,04000US32,Nevada,Nevada,nv,40,0,ACSSF,1,32,1030701,66328,46697,50934,55699,55380,57468,51215,53351,47299,87970,114366,130981,82922,47802,43701,38588,53094
33,04000US33,New Hampshire,New Hampshire,nh,40,0,ACSSF,1,33,521373,21042,19590,20456,21202,20952,22156,20542,21653,20798,39713,55630,74611,55655,34483,38515,34375,68485
34,04000US34,New Jersey,New Jersey,nj,40,0,ACSSF,1,34,3195014,174835,119850,126336,128200,120418,120719,113490,113924,101987,214080,286887,394405,324399,225196,286629,343659,73702
35,04000US35,New Mexico,New Mexico,nm,40,0,ACSSF,1,35,762551,73898,49598,47617,48016,42560,41371,36488,37049,32780,58719,71473,86104,53599,30295,29082,23902,45674
36,04000US36,New York,New York,ny,40,0,ACSSF,1,36,7266187,556825,373344,352269,339512,314369,317861,291582,289571,251651,506149,671207,865492,640702,421549,489214,584890,60741
37,04000US37,North Carolina,North Carolina,nc,40,0,ACSSF,1,37,3815392,294399,232150,219592,221068,216477,219354,195323,194664,171241,312635,374954,442371,269886,152366,149685,149227,48256
38,04000US38,North Dakota,North Dakota,nd,40,0,ACSSF,1,38,305163,18488,13946,12587,14148,14521,15106,13596,14660,13167,24072,32554,42372,29184,16579,15324,14859,59114
39,04000US39,Ohio,Ohio,oh,40,0,ACSSF,1,39,4601449,362790,249837,255923,259028,241591,249666,226538,226913,198455,379214,472799,559520,356366,204562,189677,168570,50674
40,04000US40,Oklahoma,Oklahoma,ok,40,0,ACSSF,1,40,1461500,113663,86545,85166,86473,83444,83007,76051,75280,63935,121440,153583,170992,105512,55697,52222,48490,48038
41,04000US41,Oregon,Oregon,or,40,0,ACSSF,1,41,1545745,106828,78916,81988,81866,82525,79438,74240,74295,66292,125120,161757,195969,126665,74656,68882,66308,53270
42,04000US42,Pennsylvania,Pennsylvania,pa,40,0,ACSSF,1,42,4961929,334227,252508,262162,257535,247627,248062,228082,231386,204703,400015,507393,622834,418790,253263,249749,243593,54895
44,04000US44,Rhode Island,Rhode Island,ri,40,0,ACSSF,1,44,410240,31633,22718,19253,19794,18359,18546,17170,17861,14681,29106,39318,52414,37483,24025,25358,22521,58387
45,04000US45,South Carolina,South Carolina,sc,40,0,ACSSF,1,45,1839041,156655,113279,107731,111305,106338,103689,95238,93414,81068,150124,183676,211341,129784,71386,65792,58221,46898
46,04000US46,South Dakota,South Dakota,sd,40,0,ACSSF,1,46,333536,20631,17474,16150,17677,18183,18726,17053,17692,16235,28663,37161,45953,25793,13259,11317,11569,52078
47,04000US47,Tennessee,Tennessee,tn,40,0,ACSSF,1,47,2522204,208317,153299,153206,156422,146559,145019,132005,128936,110634,209483,251931,283806,169603,94153,90578,88253,46574
48,04000US48,Texas,Texas,tx,40,0,ACSSF,1,48,9289554,644199,457750,469854,490569,469817,472587,436692,431486,382311,737074,920198,1102563,775702,471427,496104,531221,54727
49,04000US49,Utah,Utah,ut,40,0,ACSSF,1,49,918367,42815,32629,34113,40398,39715,41997,40816,43514,39657,82126,110353,138605,90206,50956,48220,42247,62518
50,04000US50,Vermont,Vermont,vt,40,0,ACSSF,1,50,257107,14135,14475,13169,12831,12054,13388,11472,12040,10973,21798,27662,35877,22616,12508,11808,10301,56104
51,04000US51,Virginia,Virginia,va,40,0,ACSSF,1,51,3090178,175989,123543,123678,126899,126573,130222,124934,130342,115450,231874,302470,394504,293831,198144,228637,263088,66149
53,04000US53,Washington,Washington,wa,40,0,ACSSF,1,53,2696606,159844,107677,109008,118105,111654,122801,116152,117958,108538,213739,282828,361540,258583,162473,175400,170306,62848
54,04000US54,West Virginia,West Virginia,wv,40,0,ACSSF,1,54,739397,71666,49119,50842,51021,44974,42362,39221,36934,33907,59723,71326,80105,47071,24009,20380,16737,42644
55,04000US55,Wisconsin,Wisconsin,wi,40,0,ACSSF,1,55,2310246,130546,116179,117407,122618,116454,123491,111361,113247,103068,198525,252330,315177,201250,110123,95981,82489,54610
56,04000US56,Wyoming,Wyoming,wy,40,0,ACSSF,1,56,226985,11209,10336,10637,11410,10974,11166,10318,10817,9811,18119,24414,32162,23197,13254,11330,7831,59143
72,04000US72,Puerto Rico,Puerto Rico,pr,40,0,ACSSF,1,72,1237180,355712,145159,126900,99637,81343,70005,57394,47786,38500,59846,58223,45651,21682,10158,10315,8869,19606
