FIPS,Geographic Identifier,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,State (FIPS),Population 5 Years and Over,Population 5 Years and Over: Speak Only English,Population 5 Years and Over: Spanish,"Population 5 Years and Over: Spanish: Speak English ""very Well""","Population 5 Years and Over: Spanish: Speak English Less than ""very Well""","Population 5 Years and Over: French, Haitian, or Cajun","Population 5 Years and Over: French, Haitian, or Cajun: Speak English ""very Well""","Population 5 Years and Over: French, Haitian, or Cajun: Speak English Less than ""very Well""",Population 5 Years and Over: German or Other West Germanic Languages,"Population 5 Years and Over: German or Other West Germanic Languages: Speak English ""very Well""","Population 5 Years and Over: German or Other West Germanic Languages: Speak English Less than ""very Well""","Population 5 Years and Over: Russian, Polish, or Other Slavic Languages","Population 5 Years and Over: Russian, Polish, or Other Slavic Languages: Speak English ""very Well""","Population 5 Years and Over: Russian, Polish, or Other Slavic Languages: Speak English Less than ""very Well""",Population 5 Years and Over: Other Indo-European Languages,"Population 5 Years and Over: Other Indo-European Languages: Speak English ""very Well""","Population 5 Years and Over: Other Indo-European Languages: Speak English Less than ""very Well""",Population 5 Years and Over: Korean,"Population 5 Years and Over: Korean: Speak English ""very Well""","Population 5 Years and Over: Korean: Speak English Less than ""very Well""","Population 5 Years and Over: Chinese (Incl. Mandarin, Cantonese)","Population 5 Years and Over: Chinese (Incl. Mandarin, Cantonese): Speak English ""very Well""","Population 5 Years and Over: Chinese (Incl. Mandarin, Cantonese): Speak English Less than ""very Well""",Population 5 Years and Over: Vietnamese,"Population 5 Years and Over: Vietnamese: Speak English ""very Well""","Population 5 Years and Over: Vietnamese: Speak English Less than ""very Well""",Population 5 Years and Over: Tagalog (Incl. Filipino),"Population 5 Years and Over: Tagalog (Incl. Filipino): Speak English ""very Well""","Population 5 Years and Over: Tagalog (Incl. Filipino): Speak English Less than ""very Well""",Population 5 Years and Over: Other Asian and Pacific Island Languages,"Population 5 Years and Over: Other Asian and Pacific Island Languages: Speak English ""very Well""","Population 5 Years and Over: Other Asian and Pacific Island Languages: Speak English Less than ""very Well""",Population 5 Years and Over: Arabic,"Population 5 Years and Over: Arabic: Speak English ""very Well""","Population 5 Years and Over: Arabic: Speak English Less than ""very Well""",Population 5 Years and Over: Other and Unspecified Languages,"Population 5 Years and Over: Other and Unspecified Languages: Speak English ""very Well""","Population 5 Years and Over: Other and Unspecified Languages: Speak English Less than ""very Well"""
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,ACS16_5yr_C16001001,ACS16_5yr_C16001002,ACS16_5yr_C16001003,ACS16_5yr_C16001004,ACS16_5yr_C16001005,ACS16_5yr_C16001006,ACS16_5yr_C16001007,ACS16_5yr_C16001008,ACS16_5yr_C16001009,ACS16_5yr_C16001010,ACS16_5yr_C16001011,ACS16_5yr_C16001012,ACS16_5yr_C16001013,ACS16_5yr_C16001014,ACS16_5yr_C16001015,ACS16_5yr_C16001016,ACS16_5yr_C16001017,ACS16_5yr_C16001018,ACS16_5yr_C16001019,ACS16_5yr_C16001020,ACS16_5yr_C16001021,ACS16_5yr_C16001022,ACS16_5yr_C16001023,ACS16_5yr_C16001024,ACS16_5yr_C16001025,ACS16_5yr_C16001026,ACS16_5yr_C16001027,ACS16_5yr_C16001028,ACS16_5yr_C16001029,ACS16_5yr_C16001030,ACS16_5yr_C16001031,ACS16_5yr_C16001032,ACS16_5yr_C16001033,ACS16_5yr_C16001034,ACS16_5yr_C16001035,ACS16_5yr_C16001036,ACS16_5yr_C16001037,ACS16_5yr_C16001038
1,04000US01,Alabama,Alabama,al,40,0,ACSSF,1,1,4548393,4315133,147816,79552,68264,7776,5930,1846,9083,7725,1358,3492,2419,1073,15042,10733,4309,8124,3159,4965,9554,4079,5475,6946,3287,3659,3702,2595,1107,9237,6005,3232,6049,3985,2064,6439,4809,1630
2,04000US02,Alaska,Alaska,ak,40,0,ACSSF,1,2,682423,572111,24078,17526,6552,2515,2334,181,3386,3192,194,6612,4398,2214,3148,2310,838,3747,1634,2113,1422,666,756,1139,427,712,16460,8405,8055,14782,8558,6224,516,431,85,32507,26135,6372
4,04000US04,Arizona,Arizona,az,40,0,ACSSF,1,4,6293638,4601982,1285656,838428,447228,17644,14042,3602,24455,21512,2943,25488,17688,7800,57352,43177,14175,9942,5122,4820,30222,15135,15087,23300,9756,13544,23815,16823,6992,38329,26176,12153,23052,14015,9037,132401,100175,32226
5,04000US05,Arkansas,Arkansas,ar,40,0,ACSSF,1,5,2777588,2579923,142819,74460,68359,3343,2804,539,6089,5198,891,1931,1451,480,9210,6629,2581,1453,856,597,5024,2611,2413,4484,1624,2860,2725,1501,1224,15499,7606,7893,2670,1528,1142,2418,1782,636
6,04000US06,California,California,ca,40,0,ACSSF,1,6,36154645,20243965,10407915,6025889,4382026,135090,115389,19701,134068,117507,16561,231707,135667,96040,1099972,732567,367405,370062,159889,210173,1144815,498128,646687,542298,221979,320319,792790,525708,267082,691302,411311,279991,173504,106458,67046,187157,130133,57024
8,04000US08,Colorado,Colorado,co,40,0,ACSSF,1,8,5023803,4172003,597078,374635,222443,17171,13838,3333,27146,24071,3075,27563,17939,9624,41617,31152,10465,15095,7586,7509,23904,11997,11907,19074,8202,10872,7577,5297,2280,33724,21548,12176,9990,6142,3848,31861,21205,10656
9,04000US09,Connecticut,Connecticut,ct,40,0,ACSSF,1,9,3399758,2649470,391576,237892,153684,43206,32024,11182,12570,10952,1618,55372,32670,22702,133864,88440,45424,6608,3163,3445,28159,14960,13199,7001,2928,4073,8660,6139,2521,29059,18062,10997,11704,7201,4503,22509,17959,4550
10,04000US10,Delaware,Delaware,de,40,0,ACSSF,1,10,879084,767378,60311,36130,24181,5565,3551,2014,3702,2900,802,2560,1931,629,12657,9037,3620,1683,869,814,7470,3824,3646,1276,541,735,2298,1808,490,6647,4940,1707,1521,1120,401,6016,5241,775
11,04000US11,District of Columbia,District of Columbia,dc,40,0,ACSSF,1,11,617054,509474,54247,32244,22003,9713,7556,2157,3050,2870,180,3631,2936,695,10938,9392,1546,1359,1103,256,5147,3134,2013,774,428,346,2067,1257,810,2870,2158,712,2127,1672,455,11657,7632,4025
12,04000US12,Florida,Florida,fl,40,0,ACSSF,1,12,18840238,13512487,3936129,2239201,1696928,497978,296100,201878,81286,69274,12012,95890,57937,37953,290195,203898,86297,20936,10795,10141,69191,30632,38559,59034,25487,33547,64670,46226,18444,84119,54138,29981,56143,38018,18125,72180,56069,16111
13,04000US13,Georgia,Georgia,ga,40,0,ACSSF,1,13,9438379,8143482,748955,411332,337623,56406,44008,12398,28872,25329,3543,29038,18239,10799,130383,89090,41293,45221,20667,24554,45705,22372,23333,44745,16441,28304,12966,9396,3570,65423,43185,22238,17333,11606,5727,69850,50324,19526
15,04000US15,Hawaii,Hawaii,hi,40,0,ACSSF,1,15,1322028,982489,25854,18077,7777,3493,2971,522,3986,3309,677,2430,1640,790,5784,4330,1454,18116,5952,12164,31901,11639,20262,10108,3023,7085,60202,29244,30958,172004,87762,84242,628,510,118,5033,4133,900
16,04000US16,Idaho,Idaho,id,40,0,ACSSF,1,16,1521420,1359822,120847,73340,47507,3164,2732,432,5364,4560,804,5763,3821,1942,6285,4371,1914,851,392,459,3445,1492,1953,1487,552,935,2201,1555,646,4883,3197,1686,2569,1142,1427,4739,3488,1251
17,04000US17,Illinois,Illinois,il,40,0,ACSSF,1,17,12061479,9328769,1596091,938092,657999,39799,29967,9832,47177,39128,8049,287389,156365,131024,289337,199093,90244,44848,21289,23559,102065,47985,54080,20808,9169,11639,81878,59208,22670,98665,63865,34800,61598,40912,20686,63055,44267,18788
18,04000US18,Indiana,Indiana,in,40,0,ACSSF,1,18,6169554,5652387,285410,167829,117581,13011,9995,3016,58014,43663,14351,18249,11917,6332,39337,28817,10520,7089,3397,3692,26846,11569,15277,6710,2700,4010,7502,5358,2144,30226,15350,14876,10865,6458,4407,13908,10534,3374
19,04000US19,Iowa,Iowa,ia,40,0,ACSSF,1,19,2909721,2691369,113633,65082,48551,5180,3483,1697,16211,13011,3200,12609,7830,4779,11994,8536,3458,2659,1084,1575,11583,4416,7167,7751,2646,5105,2562,1390,1172,18963,9698,9265,5829,3517,2312,9378,5497,3881
20,04000US20,Kansas,Kansas,ks,40,0,ACSSF,1,20,2699377,2393985,203505,120024,83481,4847,4077,770,12931,10556,2375,4431,3279,1152,15565,11629,3936,3778,1455,2323,10714,5145,5569,12659,5035,7624,3391,2309,1082,19621,11413,8208,4824,2844,1980,9126,6721,2405
21,04000US21,Kentucky,Kentucky,ky,40,0,ACSSF,1,21,4137464,3923603,106467,59163,47304,7438,5721,1717,19773,15050,4723,9407,5375,4032,17389,11699,5690,3214,1635,1579,7734,3485,4249,4636,2193,2443,3586,2533,1053,15045,8260,6785,8399,4786,3613,10773,5302,5471
22,04000US22,Louisiana,Louisiana,la,40,0,ACSSF,1,22,4336413,3976236,156774,87223,69551,107154,90556,16598,5792,4990,802,3528,2599,929,17300,12180,5120,3009,1696,1313,9865,4365,5500,29570,13990,15580,4304,3151,1153,9257,5883,3374,8974,5749,3225,4650,3651,999
23,04000US23,Maine,Maine,me,40,0,ACSSF,1,23,1264777,1183034,11411,9125,2286,38978,31400,7578,4018,3457,561,2685,1763,922,5966,4843,1123,421,220,201,3158,1518,1640,1966,879,1087,1641,1106,535,3348,1695,1653,2544,1178,1366,5607,3551,2056
