FIPS,Geographic Identifier,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,State (FIPS),Workers 16 Years and Over:,"Workers 16 Years and Over: Car, Truck, or Van",Workers 16 Years and Over: Drove Alone,Workers 16 Years and Over: Carpooled,Workers 16 Years and Over: Public Transportation (Includes Taxicab),Workers 16 Years and Over: Motorcycle,Workers 16 Years and Over: Bicycle,Workers 16 Years and Over: Walked,Workers 16 Years and Over: Other Means,Workers 16 Years and Over: Worked At Home
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,SE_T128_001,SE_T128_002,SE_T128_009,SE_T128_010,SE_T128_003,SE_T128_004,SE_T128_005,SE_T128_006,SE_T128_007,SE_T128_008
1,04000US01,Alabama,Alabama,al,40,0,ACSSF,1,1,2014965,1903947,1727392,176555,8632,2806,2310,23010,15269,58991
2,04000US02,Alaska,Alaska,ak,40,0,ACSSF,1,2,359987,290233,245271,44962,6455,661,3481,28304,14278,16575
4,04000US04,Arizona,Arizona,az,40,0,ACSSF,1,4,2843107,2488772,2179692,309080,60215,13515,27327,56645,34546,162087
5,04000US05,Arkansas,Arkansas,ar,40,0,ACSSF,1,5,1247999,1166212,1031965,134247,5862,2745,1915,21839,9951,39475
6,04000US06,California,California,ca,40,0,ACSSF,1,6,17193695,14461903,12636396,1825507,906730,60621,190130,463369,176506,934436
8,04000US08,Colorado,Colorado,co,40,0,ACSSF,1,8,2673188,2259162,2010669,248493,84989,6094,34240,79845,21139,187719
9,04000US09,Connecticut,Connecticut,ct,40,0,ACSSF,1,9,1761516,1522593,1379406,143187,87310,1425,5387,51845,11906,81050
10,04000US10,Delaware,Delaware,de,40,0,ACSSF,1,10,432424,387126,351661,35465,12440,391,1379,9172,3142,18774
11,04000US11,District of Columbia,District of Columbia,dc,40,0,ACSSF,1,11,345735,135318,116518,18800,128993,602,14708,46033,2066,18015
12,04000US12,Florida,Florida,fl,40,0,ACSSF,1,12,8649800,7681517,6874620,806897,190208,27360,59982,127822,96215,466696
13,04000US13,Georgia,Georgia,ga,40,0,ACSSF,1,13,4438650,3981026,3532380,448646,102049,5309,9999,69222,46846,224199
15,04000US15,Hawaii,Hawaii,hi,40,0,ACSSF,1,15,687234,554434,457625,96809,46888,5252,7169,30421,11476,31594
16,04000US16,Idaho,Idaho,id,40,0,ACSSF,1,16,719853,635290,563616,71674,5502,2668,7471,20436,6037,42449
17,04000US17,Illinois,Illinois,il,40,0,ACSSF,1,17,6033483,4926537,4428707,497830,565303,6103,39187,184984,46278,265091
18,04000US18,Indiana,Indiana,in,40,0,ACSSF,1,18,3030786,2785826,2515179,270647,34504,4497,13983,64159,23250,104567
19,04000US19,Iowa,Iowa,ia,40,0,ACSSF,1,19,1560119,1393511,1258728,134783,18819,2993,8162,54950,11197,70487
20,04000US20,Kansas,Kansas,ks,40,0,ACSSF,1,20,1402677,1284514,1153661,130853,7648,3188,4744,33357,10965,58261
21,04000US21,Kentucky,Kentucky,ky,40,0,ACSSF,1,21,1886629,1734833,1551679,183154,21556,2184,4283,44888,17282,61603
22,04000US22,Louisiana,Louisiana,la,40,0,ACSSF,1,22,1997621,1842321,1650033,192288,28502,3111,10088,36091,24710,52798
23,04000US23,Maine,Maine,me,40,0,ACSSF,1,23,639116,563982,499506,64476,5703,1133,2702,25640,4964,34992
24,04000US24,Maryland,Maryland,md,40,0,ACSSF,1,24,2974521,2468638,2193235,275403,270709,2570,9606,72358,20548,130092
25,04000US25,Massachusetts,Massachusetts,ma,40,0,ACSSF,1,25,3399796,2674195,2418342,255853,344906,3169,27149,165309,26672,158396
26,04000US26,Michigan,Michigan,mi,40,0,ACSSF,1,26,4356501,3979951,3594640,385311,65197,4661,20261,95720,27681,163030
27,04000US27,Minnesota,Minnesota,mn,40,0,ACSSF,1,27,2812166,2437188,2193771,243417,101527,4948,22976,78605,16526,150396
28,04000US28,Mississippi,Mississippi,ms,40,0,ACSSF,1,28,1198881,1131815,1015592,116223,5126,1382,1529,17813,15090,26126
